Job,Operation,Machine,Arrival,Deadline,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_003,9,M5,203,2981,2938,43,2981,0,0,0
Job_008,9,M8,731,3339,3230,74,3304,-35,0,35
Job_009,9,M7,764,3205,3160,45,3205,0,0,0
Job_010,9,M3,872,3310,3231,79,3310,0,0,0
Job_011,8,M4,924,3531,2966,26,2992,-539,0,539
Job_011,9,M8,924,3531,3457,74,3531,0,0,0
Job_012,9,M8,981,3334,3304,30,3334,0,0,0
Job_013,9,M7,1160,3471,3446,25,3471,0,0,0
Job_014,5,M8,1165,3942,3006,52,3058,-884,0,884
Job_014,6,M7,1165,3942,3058,85,3143,-799,0,799
Job_014,7,M3,1165,3942,3310,98,3408,-534,0,534
Job_014,8,M9,1165,3942,3408,22,3430,-512,0,512
Job_014,9,M5,1165,3942,3899,43,3942,0,0,0
Job_015,9,M6,1171,3181,3128,53,3181,0,0,0
Job_016,6,M7,1172,3695,2966,12,2978,-717,0,717
Job_016,7,M6,1172,3695,2978,89,3067,-628,0,628
Job_016,8,M9,1172,3695,3082,45,3127,-568,0,568
Job_016,9,M4,1172,3695,3662,33,3695,0,0,0
Job_017,9,M9,1295,3310,3289,21,3310,0,0,0
Job_018,4,M8,1398,3839,2942,64,3006,-833,0,833
Job_018,5,M9,1398,3839,3006,76,3082,-757,0,757
Job_018,6,M5,1398,3839,3082,47,3129,-710,0,710
Job_018,7,M3,1398,3839,3129,52,3181,-658,0,658
Job_018,8,M4,1398,3839,3181,90,3271,-568,0,568
Job_018,9,M7,1398,3839,3794,45,3839,0,0,0
